idx,elapsed_ns,position_counts
758,345546,-147
759,349097,-147
760,346566,-147
761,365897,-147
762,397043,-147
763,385856,-147
764,346223,-147
765,370025,-147
766,386350,-147
767,348350,-147
768,362892,-147
769,346264,-147
770,373556,-147
771,385794,-147
772,344045,-147
773,372279,-147
774,394052,-147
775,409841,-147
776,384230,-147
777,365366,-147
778,393313,-147
779,402523,-147
780,348998,-147
781,365097,-147
782,388249,-147
783,356702,-147
784,362132,-147
785,389329,-147
786,367127,-147
787,346399,-147
788,379853,-147
789,354553,-147
790,344122,-147
791,377723,-147
792,378960,-147
793,371072,-147
794,369357,-147
795,388088,-147
796,349107,-147
797,387487,-147
798,342614,-147
799,372676,-147
800,362993,-147
801,392757,-147
802,345068,-147
803,366808,-147
804,372398,-147
805,365778,-147
806,367637,-147
807,390939,-147
808,387213,-147
809,342265,-147
810,371668,-147
811,343367,-147
812,378089,-147
813,380658,-147
814,343649,-147
815,373150,-147
816,383931,-147
817,347069,-147
818,385468,-147
819,372624,-147
820,359483,-147
821,361086,-147
822,385798,-147
823,348114,-147
824,366746,-147
825,366929,-147
826,369223,-147
827,363631,-147
828,373337,-147
829,362549,-147
830,370030,-147
831,368749,-147
832,388705,-147
833,387725,-147
834,370337,-147
835,382920,-147
836,371864,-147
837,388590,-147
838,343366,-147
839,350267,-147
840,387399,-147
841,364999,-147
842,362960,-147
843,343997,-147
844,347511,-147
845,345764,-147
846,369564,-147
847,389698,-147
848,344758,-147
849,368811,-147
850,395248,-147
851,386647,-147
852,349647,-147
853,364679,-147
854,346486,-147
855,370585,-147
856,385163,-147
857,344689,-147
858,372026,-147
859,386304,-147
860,350354,-147
861,361979,-147
862,392569,-147
863,347921,-147
864,363809,-147
865,365895,-147
866,374172,-147
867,363725,-147
868,369949,-146
869,389149,-146
870,384000,-146
871,373152,-147
872,384739,-146
873,344791,-146
874,375274,-147
875,381733,-147
876,370059,-147
877,346700,-147
878,344725,-147
879,354276,-147
880,387638,-147
881,362143,-147
882,371824,-147
883,384620,-147
884,349947,-148
885,345550,-148
886,366709,-147
887,390011,-147
888,367663,-148
889,345077,-147
890,378957,-147
891,382222,-147
892,347823,-147
893,388504,-147
894,366855,-147
895,348953,-147
896,386868,-147
897,363784,-147
898,348739,-147
899,367515,-147
900,367748,-147
901,367920,-147
902,366152,-147
903,370147,-147
904,363593,-147
905,369394,-147
906,367835,-147
907,366424,-147
908,386937,-147
909,355886,-147
910,387453,-147
