idx,elapsed_ns,position_counts
875,390478,-123
876,384847,-123
877,394910,-123
878,400493,-123
879,387690,-123
880,371098,-123
881,386483,-123
882,398602,-123
883,376218,-122
884,386962,-122
885,368773,-122
886,387160,-122
887,388580,-122
888,367975,-122
889,409782,-122
890,392978,-123
891,403493,-123
892,387314,-123
893,369170,-123
894,387994,-122
895,390193,-122
896,384132,-122
897,389530,-122
898,415628,-122
899,385567,-122
900,388012,-122
901,369087,-122
902,369150,-124
903,384170,-124
904,409580,-122
905,387092,-122
906,385113,-124
907,388685,-123
908,394025,-122
909,402661,-123
910,391228,-123
911,385483,-123
912,368600,-123
913,389880,-123
914,385198,-123
915,412629,-123
916,386100,-122
917,389449,-122
918,388585,-123
919,367629,-123
920,397731,-123
921,355851,-123
922,385813,-124
923,369481,-124
924,386657,-123
925,387678,-123
926,418176,-123
927,359663,-123
928,396991,-123
929,361138,-123
930,385598,-124
931,391725,-124
932,384317,-124
933,390155,-124
934,387960,-124
935,363525,-124
936,394383,-123
937,406603,-123
938,388582,-123
939,386713,-123
940,386869,-123
941,390576,-124
942,407060,-124
943,387589,-123
944,387463,-123
945,405202,-125
946,375181,-124
947,384996,-123
948,389227,-123
949,386999,-123
950,390640,-124
951,387965,-124
952,369491,-124
953,402042,-124
954,375081,-124
955,388898,-124
956,386336,-124
957,365007,-124
958,402470,-123
959,375790,-123
960,368349,-123
961,393970,-123
962,359217,-123
963,385659,-123
964,388324,-124
965,385344,-124
966,394320,-124
967,403391,-124
968,387991,-124
969,389961,-123
970,386524,-123
971,391715,-123
972,405363,-123
973,387999,-123
974,388514,-123
975,385754,-123
976,391303,-123
977,397564,-123
978,357718,-123
979,392186,-123
980,358316,-123
981,414743,-123
982,388292,-123
983,383861,-123
984,370916,-123
985,385252,-124
986,395882,-124
987,379200,-123
988,387245,-123
989,392193,-123
990,386024,-123
991,376319,-124
992,357054,-124
993,386634,-123
994,396178,-123
995,359371,-123
996,386564,-123
997,389897,-123
998,388524,-123
999,388889,-123
1000,406802,-123
1001,388228,-123
1002,390458,-123
1003,387572,-123
1004,390230,-123
1005,411498,-123
1006,384300,-123
1007,387059,-123
1008,388085,-123
1009,392778,-123
1010,384265,-123
1011,372114,-123
1012,390479,-123
1013,358922,-123
1014,396709,-123
1015,357582,-123
1016,386282,-123
1017,411971,-123
1018,383621,-123
1019,398249,-123
1020,378592,-123
1021,386579,-123
1022,392166,-123
1023,384827,-123
1024,382527,-123
1025,354885,-123
1026,385808,-123
1027,390609,-123
1028,391838,-123
1029,414317,-122
1030,376702,-123
1031,364552,-123
1032,390598,-123
1033,385015,-122
1034,399811,-123
1035,379122,-123
1036,385832,-123
1037,395572,-123
1038,384623,-123
1039,398160,-123
1040,359840,-123
1041,383629,-123
1042,394009,-123
1043,359953,-123
1044,388150,-123
1045,388096,-123
1046,388160,-123
1047,393327,-123
1048,383500,-123
1049,386379,-123
1050,391519,-123
1051,385051,-123
1052,392166,-123
1053,384629,-123
1054,388171,-123
1055,389551,-123
1056,406561,-123
1057,390506,-123
1058,386109,-123
1059,390422,-123
1060,393298,-123
1061,360361,-123
1062,401208,-123
1063,354686,-123
1064,388933,-123
1065,394298,-123
1066,403619,-123
1067,399336,-123
1068,378166,-123
1069,386855,-123
1070,388905,-123
1071,385702,-123
1072,402907,-123
1073,384973,-123
1074,375637,-123
1075,394333,-123
1076,381883,-123
1077,399921,-123
1078,356445,-123
1079,386441,-123
1080,395295,-123
1081,359022,-123
1082,388732,-123
1083,391170,-123
1084,385666,-123
1085,390335,-123
1086,385998,-123
1087,386853,-123
1088,391012,-123
1089,389530,-123
1090,397082,-123
1091,360326,-123
1092,385155,-123
1093,387054,-123
1094,365309,-123
1095,372699,-123
1096,380665,-123
1097,341302,-123
1098,364179,-123
1099,347353,-123
1100,348176,-123
1101,346497,-123
1102,349559,-123
1103,331402,-123
1104,314362,-123
1105,309433,-123
1106,311723,-123
1107,315129,-123
1108,284048,-123
1109,291135,-123
1110,311562,-123
1111,307291,-123
1112,304238,-123
1113,312408,-123
1114,306451,-123
1115,311103,-123
1116,305440,-123
1117,293392,-123
1118,306577,-123
1119,292622,-123
1120,292229,-123
1121,306937,-123
1122,312539,-123
1123,286093,-123
1124,306859,-123
1125,310335,-123
1126,309301,-123
1127,313661,-123
1128,309303,-123
1129,343392,-123
1130,364270,-123
1131,326410,-123
1132,338635,-123
1133,357853,-123
1134,349002,-123
1135,361017,-123
1136,317040,-123
1137,329412,-123
1138,342686,-123
1139,355690,-123
1140,311523,-123
1141,303114,-123
1142,307665,-123
1143,287127,-123
1144,308358,-123
1145,310332,-123
1146,308920,-123
1147,329840,-123
1148,311072,-123
1149,309683,-123
1150,310672,-123
1151,289134,-123
1152,309486,-123
1153,309804,-123
1154,312543,-123
1155,308990,-123
1156,310319,-123
1157,330622,-123
1158,309754,-122
1159,309939,-122
1160,289083,-123
1161,318401,-123
1162,303610,-123
1163,309256,-123
1164,312397,-123
1165,307910,-123
1166,288317,-122
1167,295637,-122
1168,305509,-122
1169,319446,-122
1170,353250,-123
1171,344337,-123
1172,315311,-123
1173,323215,-123
1174,341819,-123
1175,312278,-123
1176,329236,-123
1177,306223,-123
1178,309829,-123
1179,312251,-123
1180,310693,-122
1181,305968,-122
1182,310448,-122
1183,332283,-122
1184,308913,-122
1185,288716,-122
1186,312215,-122
1187,307871,-123
1188,326090,-123
1189,296409,-123
1190,306707,-123
1191,308919,-123
1192,293424,-123
1193,291997,-123
1194,306178,-123
1195,310923,-123
1196,312309,-123
1197,310472,-123
1198,288150,-123
1199,310244,-123
1200,309881,-123
1201,286950,-123
1202,314999,-123
1203,305059,-123
1204,292806,-123
1205,311521,-123
1206,311463,-123
1207,325490,-123
1208,342272,-123
1209,303785,-123
1210,322064,-123
1211,310609,-123
1212,325371,-123
1213,327974,-123
1214,332177,-123
1215,329958,-123
1216,328328,-123
1217,329418,-123
1218,332395,-123
1219,326836,-123
1220,330268,-123
